feature,importance
remainder__base_price,0.4836155846597338
remainder__units_sold,0.37532881895035763
remainder__final_price,0.13932073899752984
remainder__discount_percent,0.000493505173154719
remainder__customer_age,0.0003650722153254083
cat__competition_intensity_Medium,4.6922737502376385e-05
cat__zone_North,4.6893297272720633e-05
cat__zone_South,4.684620142555808e-05
cat__zone_West,4.606929805433821e-05
cat__competition_intensity_High,4.489702551115135e-05
cat__competition_intensity_Low,4.354178400825783e-05
cat__state_Delhi NCR,4.2344560874064023e-05
cat__customer_gender_Male,4.208335107196981e-05
cat__customer_gender_Female,3.808947771418114e-05
cat__state_Karnataka,3.355923020872085e-05
cat__inventory_pressure_High,3.273888328759273e-05
cat__state_Maharashtra,3.148735693696566e-05
cat__inventory_pressure_Low,3.099642023212609e-05
cat__category_Premium Lifestyle,3.0347847049498918e-05
cat__state_Kerala,3.0217091644338723e-05
cat__category_Electronics,2.73570244868381e-05
cat__state_Punjab,2.566810147113975e-05
cat__sales_event_Normal,2.453433405775751e-05
cat__brand_type_Mass,2.365283371552325e-05
cat__brand_type_Premium,2.184472164052095e-05
cat__state_Haryana,2.0044418386890105e-05
cat__state_Tamil Nadu,1.861471383544248e-05
cat__state_Gujarat,1.651805950839982e-05
cat__state_Telangana,1.6514784516658045e-05
cat__sales_event_Festival,1.4110934265289091e-05
cat__category_Sports & Fitness,1.0567322040011063e-05
cat__zone_Central,1.0259102254457524e-05
cat__zone_East,9.950743014395147e-06
cat__state_Uttar Pradesh,7.491458878993582e-06
cat__category_Home & Living,7.187685938779775e-06
cat__state_Odisha,6.464603781836333e-06
cat__state_West Bengal,6.421086340779672e-06
cat__state_Chhattisgarh,5.901820464606322e-06
cat__state_Madhya Pradesh,5.8284844365268994e-06
cat__category_Footwear,5.557572970330818e-06
cat__category_Fashion,3.3638884188994446e-06
cat__category_Beauty & Personal Care,1.2704299907113439e-06
cat__category_Grocery Essentials,1.213166898050651e-07
